p1(s);p2(s);pdot1(s/s);pdot2(s/s);l1(mJy kpc²);l2(mJy kpc²);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);seed;S1*A;S2*A;A;porb(days);b1(T);b2(T);m1(Msun);m2(Msun);porb_i;e_form;e;a(AU);ce;type1;type2;ID
0.0145702;1.93763;3.69594e-20;4.2151e-18;0.197259;2.13032;-2.81214;-2.5033;-0.085488;-241.5;151.491;17.9759;3638638853;1230530000000.0;49.8481;123.176;0.58964;73178.8;13109000.0;1.53862;2.36961;3.84111;0.306371;0.27224;0.0216766;1;13;13;1716
1.08747;10.601;2.19818e-17;2.15499e-16;0.541576;0.458728;4.82427;0.783356;0.074497;35.8605;-219.671;4.92533;3638654978;1.18752;1.18715;10.7045;1.35348;13482200.0;132993000.0;1.3144;1.27758;7.71585;0.712983;0.702232;0.0328941;0;13;13;1717
0.0319811;45.6433;1.55994e-19;2.1381e-16;2.5335;166.812;5.56124;5.82894;-4.56925;-13.0115;-210.984;41.5984;3638713002;4.91126;4.84252;60.8022;3.56394;195216.0;306869000.0;1.3468;1.50197;19.5463;0.439617;0.439261;0.0647311;0;13;13;1718
0.0433826;27.2847;1.4538600000000001e-18;9.16475e-16;1.36995;0.164946;-0.930064;-1.37695;0.135827;-95.9169;13.8773;104.988;3638719319;815788000000.0;9.47315;81.6605;0.134538;695854.0;459082000.0;1.34496;1.35212;1.45627;0.453366;0.279805;0.00715265;0;13;13;1719
2.39767;6.63138;1.4413e-16;4.00275e-16;0.0724894;927.066;6.87543;-0.332766;-0.146979;47.3355;-322.073;14.5237;3638749724;0.130088;0.130088;1.39699;0.614824;54089200.0;149900000.0;1.27762;1.27758;4.32379;0.762072;0.723548;0.0193456;0;13;13;1720
0.14073;31.7736;2.5913100000000004e-18;5.8573e-16;2.82009;16.9772;2.68577;-0.954381;-0.379589;-116.378;-196.7;-6.67296;3304624252;2.8654;2.79519;29.2959;3.38187;1639270.0;417908000.0;1.34667;1.50528;35.4981;0.948726;0.921703;0.0625304;0;13;13;1721
0.0193841;11.2573;2.68672e-19;1.77952e-16;0.112187;2.23244;-4.56349;0.498603;0.0862496;14.4617;353.617;-39.9535;3304667475;1579390000000.0;27.1525;158.097;161.959;195690.0;171034000.0;1.3;2.06532;998.775;0.580969;0.580969;0.871401;0;13;13;1722
1.84092;7.9406;5.9705400000000004e-18;2.57374e-17;0.0100393;0.691927;-0.952967;1.26022;-0.0206875;167.691;73.2594;0.982811;3304742175;12.8202;9.94931;81.7442;1.31194;9291250.0;40435400.0;1.30001;1.27758;7.13721;0.231614;0.230001;0.0321579;0;13;13;1723
1.18819;14.9871;1.04949e-16;1.33847e-15;2.29839;0.307906;1.06263;7.08208;0.0729384;253.463;2.27545;6.61023;3304768309;9.62939;9.59709;98.2882;27.5243;30940400.0;395733000.0;1.30588;1.27758;148.051;0.728033;0.728032;0.244804;0;13;13;1724
0.0831419;14.9794;4.3385300000000004e-18;7.85636e-16;6.9671;4.31257;0.81738;0.0296132;0.0443314;-106.182;-196.714;-4.5515;2979682002;39.8332;8.08539;51.5929;6.56334;1671690.0;347825000.0;1.33857;1.54987;39.2886;0.930487;0.926975;0.0977037;0;13;13;1725
